================================================================================
LINUX COMMANDS - COMPREHENSIVE INTERVIEW & REVISION GUIDE
Extracted from: Linux and Shell Scripting.txt (Deduplicated)
For: DevOps Engineers | System Administrators | Java Developers
================================================================================

================================================================================
STRUCTURED COMMAND TABLE
================================================================================

| # | Command / Concept         | Description                                                     | Real-Time Usage Scenario                                                  | Priority |
Default file permission:      644 (rw-r--r--)
Default directory permission: 755 (rwxr-xr-x)
SSH key permission:           400 (r--------)

================================================================================
LINUX FILE TYPES
================================================================================

Symbol | Type               | Example
-------|--------------------|-------------------------
 -     | Regular file       | -rw-r--r-- app.jar
 d     | Directory          | drwxr-xr-x  config/
 l     | Symbolic link      | lrwxrwxrwx  current -> v2

================================================================================
LINUX ARCHITECTURE
================================================================================

User (runs commands)
    |
Shell (interprets commands - Bash, Zsh)
    |
Kernel (core OS - manages CPU, RAM, I/O, hardware)
    |
Hardware (physical CPU, RAM, disk, network)

================================================================================
FINAL SUMMARY NOTES
================================================================================

TOP 10 MOST IMPORTANT LINUX COMMANDS FOR DEVOPS:
1.  grep    — Log searching, error finding, pattern matching
2.  tail -f — Live monitoring of application logs
3.  chmod   — Securing files, making scripts executable
4.  systemctl — Managing services (Docker, Jenkins, Nginx)
5.  find    — Locating config files and deployment artifacts
6.  sed     — In-place config file editing in CI/CD pipelines
7.  curl    — Testing API health endpoints and REST services
8.  ps aux / kill — Process management and troubleshooting
9.  tar / zip — Archiving logs and deployment packages
10. usermod — Managing user group membership (Docker group, etc.)

COMMAND CATEGORIES:
  File Management:     ls, cd, mkdir, rm, cp, mv, touch, ln
  File Viewing:        cat, head, tail, wc, diff, tac
  Text Processing:     grep, sed, awk
  Text Editors:        vi (command, insert, esc modes)
  File Search:         find, locate
  User Management:     useradd, userdel, usermod, passwd, su, whoami, id
  Group Management:    groupadd, groupmod, gpasswd, lid
  Permissions:         chmod (symbolic & numeric), chown
  Archiving:           zip, unzip, tar
  Networking:          ping, curl, wget, netstat
  Package Management:  yum, apt, dnf, rpm, dpkg
  Installation Setup:  Git, Java JDK, Maven, Docker, Jenkins, Node.js, kubectl, Terraform
  Process Management:  ps, top, kill, free
  Service Management:  systemctl (start, stop, restart, enable, status)
  Webservers:          Apache httpd, Nginx (reverse proxy), Tomcat
  System Info:         uname, cat /etc/os-release, hostname, history

KEY LEARNING TAKEAWAYS:
1. Linux is the OS of choice for servers, DevOps, and cloud infrastructure.
2. Everything in Linux is a file (regular, directory, or link).
3. Permissions (chmod) and ownership (chown) are critical for security.
4. grep + sed + awk = the power trio for text processing and log analysis.
5. systemctl is the modern way to manage services (replaces service command).
6. Always use chmod 400 for SSH private key files (.pem).
7. Hard links share inode (survive original delete), soft links are shortcuts (break on delete).
8. Package managers vary by distro: yum/dnf (RHEL), apt (Ubuntu).
9. Always run 'sudo apt update' BEFORE 'sudo apt install' on Ubuntu.
10. Nginx is preferred over Apache for microservices reverse proxy setups.
11. For Java Full Stack: Nginx (port 80) -> Spring Boot (port 8080) is the standard architecture.
12. Always open required ports (22, 80, 443, 8080) in AWS Security Group before testing.

================================================================================
END OF LINUX COMMANDS ANALYSIS
================================================================================
